# Modèles de la traduction hors ligne, téléchargés et vérifiés par install.sh (jamais par LibreTranslate).
# type|de|vers|url|sha256|taille en octets
# argos : modèle de traduction Argos (toujours avec l'anglais, pivot des autres paires).
// ... 23 more lines (total: 26)
argos|nl|en|https://argos-net.com/v1/translate-nl_en-1_8.argosmodel|f49ac90c5812e0cb86a2858f4cfa61accec8709612728e6f805f0771c9a91e0e|69944805
argos|en|nl|https://argos-net.com/v1/translate-en_nl-1_8.argosmodel|91406f040619fb519e16af9c304709e9f3195297e626eec6924d62c7c981a33b|71504559
argos|en|fr|https://argos-net.com/v1/translate-en_fr-1_9.argosmodel|3a65ed83364f4e7b06e30f9dd823db1934899ed3ce839e63f46dc7b09dc797b4|65472327
argos|en|de|https://argos-net.com/v1/translate-en_de-1_3.argosmodel|6cd847f0c06c9c66013e6b0932e07fd54a6d90894659c02bf6c5247b72fb25b1|150508297
argos|en|it|https://argos-net.com/v1/translate-en_it-1_0.argosmodel|dde2180001a47904ecbbd688a41e35db8a040e4fd5b52e4f29b4bb499516ab32|87660780
argos|en|es|https://argos-net.com/v1/translate-en_es-1_0.argosmodel|d698d0ef87ad70d5d184b7fa6965905bf4368f09a2bb9ffb165a79bac96af0c4|87503191
argos|fr|en|https://argos-net.com/v1/translate-fr_en-1_9.argosmodel|3b3052fee6bb1e8e8e632a26a723eb2a2c7710dfe73ba61ffd9b83e85d4f14c1|66585033
argos|de|en|https://argos-net.com/v1/translate-de_en-1_3.argosmodel|becc2b0011f8249fcb89be9ecb75ba0d876b1fab93c28ee6ff0420936897d637|150512831
argos|it|en|https://argos-net.com/v1/translate-it_en-1_0.argosmodel|d2dd23b8b702f612b8127f07c7a0391f5f2a8b93344e6ddc9dd93c81824e85cb|87190224
argos|es|en|https://argos-net.com/v1/translate-es_en-1_9.argosmodel|c54df2b62fceaf54a3ce5d97db6bf56efd7940063329f6778f4212d2acb370d4|285208831
sbd|fr|-|https://github.com/LibreTranslate/MiniSBD/releases/download/v0.0.1/fr.onnx|f9392ffd67104d9d633c9254e5095048ce64da6a04212d3dc02940425f8c3af4|193461
sbd|en|-|https://github.com/LibreTranslate/MiniSBD/releases/download/v0.0.1/en.onnx|6fa9f3a3b201687bd43e329b2b0736789efc97b37883b5b759b31988dca9f353|188043
sbd|nl|-|https://github.com/LibreTranslate/MiniSBD/releases/download/v0.0.1/nl.onnx|b04ea4f625abd5ee3097f1a54490dc95bca0a6ef1920c38c1239784e6892aaf7|181569
sbd|de|-|https://github.com/LibreTranslate/MiniSBD/releases/download/v0.0.1/de.onnx|00320fe47a79269bf4a85b4e3aa9a4b367fcc2528af23aa41cbad0203b35d1e7|189791
sbd|es|-|https://github.com/LibreTranslate/MiniSBD/releases/download/v0.0.1/es.onnx|9774dd5ed1bd2d0566fa8d12ee59fd1d2c57b97127d004e03aa2b7b1cc6b2652|193234
sbd|it|-|https://github.com/LibreTranslate/MiniSBD/releases/download/v0.0.1/it.onnx|ada440b5097f2099a6e9cf0673674805f8f95236a02910466c54f6afd8dd218f|182756
